[2024-10-06T20:52:04.980+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T20:52:04.990+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T20:52:04.991+0000] {taskinstance.py:1361} INFO - Starting attempt 14 of 14
[2024-10-06T20:52:05.007+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): upload_to_db> on 2024-10-05 00:00:00+00:00
[2024-10-06T20:52:05.013+0000] {standard_task_runner.py:57} INFO - Started process 65 to run task
[2024-10-06T20:52:05.017+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'upload_to_db', 'scheduled__2024-10-05T00:00:00+00:00', '--job-id', '133', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpjn17h6h9']
[2024-10-06T20:52:05.020+0000] {standard_task_runner.py:85} INFO - Job 133: Subtask upload_to_db
[2024-10-06T20:52:05.279+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia/Tokyo', 'Tan Son Nhat International', 'Asia/Ho_Chi_Minh', '2', 'JAL', '79')
[2024-10-06T20:52:05.279+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia/Tokyo', 'Suvarnabhumi International', 'Asia/Bangkok', 'MAIN', 'JAL', '33')
[2024-10-06T20:52:05.280+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Shanghai Pudong International', 'Asia/Shanghai', 'Narita International Airport', 'Asia/Tokyo', '1S', 'ANA', '8404')
[2024-10-06T20:52:05.280+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Shanghai Pudong International', 'Asia/Shanghai', 'Don Muang', 'Asia/Bangkok', '1', 'Thai AirAsia', '471')
[2024-10-06T20:52:05.280+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Shanghai Pudong International', 'Asia/Shanghai', 'Kota-Kinabalu International Airport', 'Asia/Kuching', '1', 'AirAsia', '1517')
[2024-10-06T20:52:05.281+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Abu Dhabi International', 'Asia/Dubai', 'A', 'Etihad Airways', '859')
[2024-10-06T20:52:05.281+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Abu Dhabi International', 'Asia/Dubai', 'A', 'Royal Jordanian', '3632')
[2024-10-06T20:52:05.282+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Abu Dhabi International', 'Asia/Dubai', 'A', 'Asiana Airlines', '6968')
[2024-10-06T20:52:05.282+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia/Tokyo', 'Singapore Changi', 'Asia/Singapore', '1', 'Vistara', '2005')
[2024-10-06T20:52:05.283+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Singapore Changi', 'Asia/Singapore', 'Perth International', 'Australia/Perth', '1', 'Singapore Airlines', '225')
[2024-10-06T20:52:05.283+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Noibai International', 'Asia/Ho_Chi_Minh', 'Chu-Bu Centrair International (Central Japan International)', 'Asia/Tokyo', '1', 'FlexFlight', '4920')
[2024-10-06T20:52:05.283+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', 'Gold Coast (coolangatta)', 'Australia/Brisbane', '1', 'IndiGo', '4736')
[2024-10-06T20:52:05.284+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', 'Gold Coast (coolangatta)', 'Australia/Brisbane', '1', 'Air New Zealand', '7601')
[2024-10-06T20:52:05.284+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Brisbane International', 'Australia/Brisbane', 'Mackay', 'Australia/Brisbane', 'D', 'Emirates', '5315')
